ID_EQUIPO,ID_TIPO_EQ,TIPO_EQUIPO,ID_EMPRESA,NOMBRE_EQUIPO,MARCA,MODELO,SERIE,QR,FOTO,UBICACION,PERIODICIDAD
308,16,AIRE ACONDICIONADO,1019,SPLIT NUNERO CINCO,SAMSUNG,AR24TSHQBURN,24000 BTU SPLIT MURO NUNERO 5,,EQUIPOS_Images/308.FOTO.160003.jpg,DROGUERÍA ,TRIMESTRAL 
309,16,AIRE ACONDICIONADO,1019,SPLIT NUMERO SEIS,SAMSUNG,AR24TSHQBURN,24000 BTU SPLIT MURO NUMERO 6,,EQUIPOS_Images/309.FOTO.155915.jpg,DROGUERÍA ,TRIMESTRAL 
310,16,AIRE ACONDICIONADO,1019,SPLIT NUMERO UNO,SAMSUNG,AR24TSHQBURN,24000 BTU SPLIT MURO NUMERO 1,,EQUIPOS_Images/310.FOTO.155800.jpg,DROGUERÍA ,TRIMESTRAL 
311,16,AIRE ACONDICIONADO,1019,SPLIT NUNERO DOS,ANWO,2TWK0524ABAA,22000 BTU  SPLIT MURO NUNERO 2,,EQUIPOS_Images/311.FOTO.155536.jpg,DROGUERÍA ,TRIMESTRAL 
312,16,AIRE ACONDICIONADO,1019,GALPON DOS,KONE PISO CIELO,KE-H18/4R1,18000 BTU PISO CIELO GALPON 2,,EQUIPOS_Images/312.FOTO.172228.jpg,DROGUERÍA ,TRIMESTRAL 
313,16,AIRE ACONDICIONADO,1019,GALPON TRES,ANWO,,SPLIT MURO 12.000 GALPON 3,,EQUIPOS_Images/313.FOTO.172319.jpg,DROGUERÍA ,TRIMESTRAL 
314,16,AIRE ACONDICIONADO,1019,GALPON UNO,ANWO ,  KFR-500,9.000 BTU SPLIT MURO GALPON 1,,EQUIPOS_Images/314.FOTO.172118.jpg,DROGUERÍA ,TRIMESTRAL 
315,16,AIRE ACONDICIONADO,1019,SALA DE ESPERA,ANWO,18000,9000 BTU,,,CROSB,TRIMESTRAL 
317,16,AIRE ACONDICIONADO,1019,ESTERILIZACION,CARRIER,COMPACTO,60000 BTU,,,CROSB,TRIMESTRAL 
319,16,AIRE ACONDICIONADO,1019,PORTATIL,KENDAL,9000,9000 BTU,,,CROSB,TRIMESTRAL 
320,16,AIRE ACONDICIONADO,1019,S.I.D.R.A (RRFF SSVQ) 2do Piso,KHONE ,AS-30HR4FUL,27000 BTU SPLIT MURO,,EQUIPOS_Images/320.FOTO.134026.jpg,RECURSOS FISICOS SSVQ,TRIMESTRAL 
321,16,AIRE ACONDICIONADO,1019,SALA SERVIDORES SALA TIC1 SSVQ 1er Piso,ANWO,GES18E,18000 BTU SPLIT MURO,,EQUIPOS_Images/321.FOTO.153204.jpg,RECURSOS FISICOS SSVQ,TRIMESTRAL 
322,16,AIRE ACONDICIONADO,1019,SALA SERVIDORES SALA TIC1 SSVQ 1er Piso,ANWO,GES 18E,18000 BTU SPLIT MURO,,EQUIPOS_Images/322.FOTO.153234.jpg,RECURSOS FISICOS SSVQ,TRIMESTRAL 
323,16,AIRE ACONDICIONADO,1019,FINANZAS (RRFF SSVQ) 1er Piso,KHONE, AS-18HR4FUL,18000 BTU SPLIT MURO,,EQUIPOS_Images/323.FOTO.134543.jpg,RECURSOS FISICOS SSVQ,TRIMESTRAL 
324,16,AIRE ACONDICIONADO,1019,COMEDOR (RRFF SSVQ) 2do Piso,ANWO,  GES 22E,22000 BTU SPLIT MURO,,EQUIPOS_Images/324.FOTO.134934.jpg,RECURSOS FISICOS SSVQ,TRIMESTRAL 
325,16,AIRE ACONDICIONADO,1019,SALA MULTIUSO (RRFF) 2do Piso,KHONE,AS-30HR4FUL,27000 BTU SPLIT MURO,,EQUIPOS_Images/325.FOTO.155105.jpg,RECURSOS FISICOS SSVQ,TRIMESTRAL 
326,16,AIRE ACONDICIONADO,1019,ABASTECIMIENTO (RRFF) 1er Piso,ANWO,GES 24E,24000 BTU SPLIT MURO,,EQUIPOS_Images/326.FOTO.154340.jpg,RECURSOS FISICOS SSVQ,TRIMESTRAL 
327,16,AIRE ACONDICIONADO,1019,SPLIT MURO KHONE 24000,KHONE 24000,N2ASM-24MDS,24000 BTU,,,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
328,16,AIRE ACONDICIONADO,1019,SPLIT MURO KENDAL 12000,KENDAL  ,N2ASM-12MDS,12000 BTU,,EQUIPOS_Images/328.FOTO.151903.jpg,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
329,16,AIRE ACONDICIONADO,1019,SPLIT MURO CLARK 18000,KENDAL  ,N2ASM-12MDS,12000 BTU,,,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
330,16,AIRE ACONDICIONADO,1019,SPLIT MURO KENDAL 12000,KENDAL  ,N2ASM-12MDS,12000 BTU,,,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
331,16,AIRE ACONDICIONADO,1019,SPLIT MURO ANWO INVERTER,ANWO 12000,12000,12000 BTU,,EQUIPOS_Images/331.FOTO.151813.jpg,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
332,16,AIRE ACONDICIONADO,1019,SPLIT MURO KHONE,Khone,12MDS,12000 BTU,,,CENTRO REGULADOR VIÑA DEL MAR,TRIMESTRAL 
